,Home,Away,HW,D,AW,outcome,B365H,B365D,B365A,predicted_outcome,predicted_percent,payouts,total_payouts
202,18,30,0.697948766820809,0.19122684161121206,0.12513684996738245,0,1.6,3.6,6.5,0,0.697948766820809,80.0,1279.5
203,18,46,0.41524120783663043,0.24352981728863654,0.3593973204296396,2,2.5,3.2,2.9,0,0.41524120783663043,-50.0,1229.5
204,49,18,0.4250615247738691,0.2557446398026653,0.33806204780379706,0,2.2,3.2,3.4,0,0.4250615247738691,110.00000000000001,1289.5
205,18,43,0.4137457197640117,0.2502085864519968,0.3546464008186615,1,3.0,3.25,2.37,0,0.4137457197640117,-50.0,1239.5
206,26,18,0.7144526963279754,0.17869919811547025,0.11893369195626625,0,1.17,7.0,17.0,0,0.7144526963279754,58.5,1248.0
207,18,25,0.11272316341405023,0.16391664877576895,0.7314438354709737,2,7.5,4.8,1.38,2,0.7314438354709737,69.0,1267.0
208,18,0,0.24954719768439645,0.23188238779130946,0.5358352322166035,0,3.4,3.4,2.1,2,0.5358352322166035,-50.0,1217.0
209,16,18,0.4875976203630378,0.25027607913447025,0.2807001175269134,0,2.25,3.2,3.3,0,0.4875976203630378,112.5,1279.5
210,18,10,0.3555943343372414,0.26633660769640577,0.39732220008372715,2,2.7,3.1,2.7,2,0.39732220008372715,135.0,1364.5
211,30,18,0.26523742334065004,0.2537299899922679,0.4997710067945327,0,3.6,3.4,2.05,2,0.4997710067945327,-50.0,1314.5
212,18,1,0.36380378830992877,0.2563767836180659,0.398725895850283,2,2.7,3.2,2.62,2,0.398725895850283,131.0,1395.5
213,29,18,0.3667389900881006,0.2609339233582786,0.391412008070116,0,2.5,3.3,2.8,2,0.391412008070116,-50.0,1345.5
214,18,23,0.38184873744715564,0.2474524444143141,0.3891405199883351,0,2.3,3.6,2.88,2,0.3891405199883351,-50.0,1295.5
215,38,18,0.45627483373931405,0.2480687568423457,0.31411643106440046,0,2.05,3.4,3.6,0,0.45627483373931405,102.49999999999999,1348.0
216,18,26,0.12027353292261125,0.17681737141998363,0.7143768324786731,2,11.0,5.8,1.25,2,0.7143768324786731,62.5,1360.5
217,43,18,0.5392752056750915,0.23337659048517237,0.24477818299559412,0,1.6,4.0,5.5,0,0.5392752056750915,80.0,1390.5
218,18,49,0.3116042800602906,0.2610783883007295,0.44637716944462225,2,2.25,3.2,3.3,2,0.44637716944462225,165.0,1505.5
219,18,29,0.27584397293653296,0.2618196971386262,0.48139323182061694,0,2.3,3.4,3.0,2,0.48139323182061694,-50.0,1455.5
220,46,18,0.5681184144544034,0.2379974393402567,0.21182885141701913,0,1.78,3.6,4.5,0,0.5681184144544034,89.0,1494.5
221,25,18,0.8298909910985569,0.12252258409276322,0.05191096085185571,0,1.2,6.5,15.0,0,0.8298909910985569,60.0,1504.5
222,18,16,0.33685756093631797,0.2701891619428318,0.41229902075716396,0,1.95,3.3,4.2,2,0.41229902075716396,-50.0,1454.5
223,0,18,0.5372614365075485,0.23939059073848606,0.24128421345934475,0,1.35,4.75,9.0,0,0.5372614365075485,67.5,1472.0
224,30,25,0.13585707765205013,0.18234957806906552,0.6934227230404134,2,9.0,5.25,1.32,2,0.6934227230404134,66.0,1488.0
225,26,30,0.7414310690684239,0.1671431690310859,0.1020852666404555,0,1.08,10.0,26.0,0,0.7414310690684239,54.0,1492.0
226,0,30,0.5102913411096405,0.23700953493372043,0.2703756851272991,0,1.5,4.2,6.5,0,0.5102913411096405,75.0,1517.0
227,30,10,0.21857955886767486,0.2512645770874905,0.5488101464602766,1,3.6,3.25,2.1,2,0.5488101464602766,-50.0,1467.0
228,30,23,0.2587653158889677,0.2557658460426841,0.5042931666890097,2,3.4,3.4,2.1,2,0.5042931666890097,105.0,1522.0
229,30,38,0.25442321433370624,0.26212183661887495,0.502508610544919,0,3.6,3.4,2.05,2,0.502508610544919,-50.0,1472.0
230,30,49,0.24890680852580796,0.25373513995591146,0.5160968761131858,1,3.4,3.3,2.15,2,0.5160968761131858,-50.0,1422.0
231,29,30,0.4300425958072863,0.26868665967496386,0.3205678774742546,1,1.95,3.6,3.75,0,0.4300425958072863,-50.0,1372.0
232,43,30,0.6046466276985383,0.231825344065312,0.18123303120081405,0,1.4,4.4,8.5,0,0.6046466276985383,70.0,1392.0
233,30,1,0.3020668862827303,0.2670491169171278,0.45012204511234105,2,3.4,3.0,2.3,2,0.45012204511234105,114.99999999999999,1457.0
